time_ms,command_angle,feedback_angle,current_mA
14925,20,20,111.30
14977,20,21,125.00
15029,20,21,114.60
15080,20,21,122.70
15131,20,21,113.90
15183,20,21,107.50
15235,20,20,113.70
15286,20,21,123.90
15337,20,20,120.70
15389,20,20,114.40
15441,20,21,110.50
15493,20,20,110.40
15545,20,20,114.70
15596,20,21,120.80
15647,20,20,117.20
15699,20,20,110.60
15752,20,21,110.90
15804,20,21,110.90
15855,20,21,116.20
15906,20,21,119.20
15957,20,21,114.00
16008,20,21,110.60
16060,20,21,111.40
16112,20,21,111.10
16163,20,21,114.00
16214,20,21,118.80
16265,20,21,120.40
16316,20,21,115.00
16367,20,21,116.30
16419,20,21,122.30
16470,20,20,123.90
16521,20,21,122.90
16572,20,20,125.90
16624,20,21,120.00
16675,20,21,114.40
16726,20,20,114.40
16777,20,21,114.90
16829,20,21,115.00
16881,20,21,119.60
16932,20,20,122.70
16984,20,20,121.90
17036,20,20,116.20
17088,20,20,114.80
17140,20,20,110.70
17191,20,21,87.70
17242,20,21,118.10
17294,20,21,122.20
17346,20,21,121.40
17398,20,21,88.60
17450,20,21,114.40
17501,20,20,114.80
17553,20,21,115.00
17604,20,21,117.80
17655,20,20,122.60
17706,20,21,125.10
17758,20,21,120.80
17810,20,20,115.90
17861,20,21,111.00
17912,20,20,114.00
17964,20,21,114.10
18016,20,21,114.30
18067,20,21,115.50
18118,20,20,117.30
18169,20,20,118.00
18221,20,21,115.80
18272,20,20,122.10
18323,20,20,122.50
18374,20,20,122.70
18426,20,21,119.50
18478,20,21,117.20
18530,20,20,114.60
18582,20,20,110.20
18633,20,21,114.70
18684,20,21,110.80
18735,20,20,114.80
18786,20,21,123.50
18838,20,21,127.60
18890,20,20,129.80
18941,20,21,126.00
18993,20,20,126.70
19045,20,21,128.70
19097,20,21,129.00
19148,20,21,125.50
19200,20,21,104.20
19252,20,20,117.50
19303,20,20,114.10
19355,20,20,113.50
19407,20,21,113.90
19458,20,20,114.00
19509,20,21,114.90
19561,20,21,96.90
19612,20,21,116.00
19664,20,21,114.80
19715,20,21,122.20
19766,20,20,118.50
19817,20,20,112.60
19868,20,21,112.60
19920,20,21,84.50
19971,20,20,110.50
20022,20,21,106.00
20073,20,21,68.10
20124,20,20,114.90
20175,20,20,115.00
20227,20,21,115.70
20279,20,21,120.00
20331,20,20,125.60
20382,20,20,118.10
20434,20,20,125.20
20487,20,20,126.00
20539,20,21,126.20
20590,20,20,125.80
20641,20,21,123.10
20693,20,20,122.70
20745,20,21,121.40
20796,20,20,119.60
20847,20,20,118.60
20898,20,22,88.70
20949,20,20,116.10
21001,20,20,88.10
21052,20,20,114.30
21103,20,21,114.60
