time_ms,command_angle,feedback_angle,current_mA
14908,90,92,100.40
14960,90,92,71.80
15011,90,83,95.70
15062,90,92,102.30
15113,90,91,95.10
15164,90,92,95.50
15215,90,91,102.30
15267,90,84,95.40
15318,90,91,82.80
15369,90,93,100.00
15421,90,92,93.00
15472,90,84,107.60
15524,90,83,91.90
15575,90,91,99.80
15626,90,83,100.00
15678,90,92,71.90
15729,90,92,100.50
15781,90,83,91.10
15833,90,91,95.20
15884,90,83,99.10
15935,90,91,95.50
15986,90,83,91.80
16037,90,86,87.70
16088,90,92,95.70
16139,90,92,75.00
16190,90,88,95.80
16241,90,92,91.70
16292,90,83,102.40
16343,20,73,597.40
16395,20,63,529.40
16447,20,51,511.70
16499,20,38,491.40
16550,20,26,495.90
16601,20,20,252.80
16652,20,23,141.00
16703,20,22,104.20
16754,20,20,158.40
16806,20,20,105.10
16858,20,20,118.10
16910,20,20,120.60
16961,20,20,110.90
17013,20,20,106.70
17066,20,20,110.50
17118,20,20,103.80
17169,20,21,103.50
17220,20,20,108.60
17271,20,21,105.50
17323,20,21,103.10
17375,20,20,107.50
17427,20,20,106.40
17478,20,21,103.40
17529,20,21,108.90
17581,20,20,100.40
17632,20,20,92.10
17683,20,20,95.00
17734,20,20,91.40
17785,20,21,88.80
17836,20,21,100.50
17887,20,20,92.50
17938,20,20,65.90
17989,20,20,92.50
18040,20,20,89.40
18091,20,20,85.00
18142,20,20,84.90
18193,20,21,91.00
18244,20,21,85.10
18295,20,20,85.00
18346,20,21,91.30
18397,20,21,84.70
18448,20,20,84.90
18499,20,20,91.70
18550,20,21,86.50
18602,20,20,92.10
18653,20,21,95.50
18705,20,21,85.80
18756,20,21,84.70
18807,20,20,95.10
18858,20,20,84.40
18909,20,21,84.90
18960,20,21,90.20
19011,20,20,85.10
19062,20,20,88.00
19114,20,21,85.40
19165,20,20,85.30
19216,20,20,91.60
19267,20,20,85.10
19318,20,20,85.60
19370,20,20,87.40
19421,20,21,84.90
19472,20,20,97.50
19523,20,21,85.80
19574,20,20,93.90
19626,20,20,92.80
19677,20,20,84.90
19728,20,20,88.80
19779,20,20,76.80
19830,20,20,84.50
19882,20,20,90.20
19933,20,21,84.40
19984,20,20,85.00
20035,20,20,91.50
20086,20,20,84.70
20138,20,20,85.00
20189,20,20,90.20
20240,20,20,85.10
20291,20,21,86.80
20342,20,20,86.60
20394,20,20,89.90
20445,20,20,96.70
20496,20,20,86.60
20547,20,20,84.80
20598,20,20,95.80
20650,20,20,84.50
20701,20,20,84.60
20752,20,20,93.00
20803,20,20,81.00
20854,20,21,85.10
20906,20,20,90.50
20957,20,20,85.20
21008,20,21,86.70
21059,20,20,63.40
21110,20,20,85.20
21162,20,21,91.40
21213,20,21,84.80
21264,20,21,85.20
21315,20,20,91.90
21366,20,21,86.40
21418,20,20,71.50
21469,20,21,85.30
21520,20,20,85.00
21571,20,21,93.60
21622,20,20,84.90
21674,20,21,87.50
21725,20,20,85.90
21776,20,20,84.80
21827,20,20,89.90
21878,20,20,63.00
21930,20,20,85.00
21981,20,21,91.40
22032,20,20,84.70
22083,20,21,85.30
22134,20,20,91.40
22186,20,21,86.80
22237,20,20,97.70
22288,20,21,91.40
22339,20,20,85.20
22390,20,20,93.80
22442,20,20,86.00
22493,20,21,84.70
22544,20,20,88.40
22595,20,20,84.70
22646,20,20,46.00
22698,20,20,91.30
22749,20,20,84.80
22800,20,20,85.10
22851,20,21,91.20
22902,20,20,85.20
22954,20,20,85.10
23005,20,20,91.40
23056,20,20,85.10
23107,20,21,85.20
23158,20,20,90.80
23210,20,21,85.40
23261,20,20,96.40
23312,20,20,85.90
23363,20,21,84.60
23414,20,20,93.40
23466,20,21,84.50
23517,20,20,84.60
23568,20,21,91.50
23619,20,21,84.70
23670,20,20,85.00
23722,20,20,91.50
23773,20,20,85.00
