time_ms,command_angle,feedback_angle,current_mA
49,90,88,3.10
100,90,88,43.50
151,90,88,38.70
202,90,88,48.40
253,90,82,65.70
305,90,88,51.30
356,90,89,65.90
407,90,88,51.30
458,90,88,46.80
509,90,88,50.40
561,90,89,46.90
612,90,87,51.10
663,90,88,46.90
714,90,89,53.50
765,90,89,47.60
817,90,89,52.90
868,90,88,46.60
919,90,88,49.00
970,90,89,46.90
1021,90,89,46.60
1073,90,87,51.10
1124,90,88,46.70
1175,90,89,67.00
1226,90,88,46.50
1277,90,88,46.70
1329,90,87,49.90
1380,90,89,47.00
1431,90,88,48.60
1482,90,89,46.50
1533,90,88,46.60
1585,90,89,49.30
1636,90,88,68.10
1687,90,89,53.30
1738,90,88,49.80
1789,90,88,49.60
1841,90,84,51.70
1892,90,87,46.70
1943,90,88,52.10
1994,90,83,55.90
2045,90,88,46.80
2097,90,89,67.20
2148,90,89,46.80
2199,90,89,54.30
2250,90,88,46.80
2301,90,88,49.70
2353,90,83,47.20
2404,90,89,42.20
2455,90,89,44.50
2506,90,89,42.90
2557,90,89,46.60
2609,90,88,47.30
2660,90,89,58.70
2711,90,89,41.90
2762,90,83,43.00
2813,90,89,39.30
2865,90,89,39.50
2916,90,89,59.40
2967,90,89,39.40
3018,90,88,39.50
3069,90,84,43.50
3121,90,88,39.50
3172,90,89,39.60
3223,90,88,42.90
3274,90,88,39.40
3325,90,83,44.40
3377,90,83,44.90
3428,90,85,40.10
3479,90,89,40.20
3530,90,89,44.70
3581,90,89,39.30
3633,90,87,39.70
3684,90,88,44.40
3735,90,88,39.20
3786,90,88,39.60
3837,90,89,41.00
3889,90,89,40.10
3940,90,88,39.70
3991,90,88,39.50
4042,90,86,42.80
4093,90,88,39.80
4145,90,88,39.70
4196,90,89,44.00
4247,90,89,40.90
4298,90,89,44.30
4349,90,88,44.40
4401,90,89,39.50
4452,90,88,42.10
4503,90,84,43.80
4554,90,88,43.70
4605,90,88,39.50
4657,20,71,379.90
4708,20,52,416.00
4759,20,37,468.20
4810,20,23,482.70
4861,20,25,108.60
4913,20,20,123.60
4964,20,21,105.40
5015,20,21,137.60
5066,20,21,127.00
5117,20,21,91.80
5169,20,20,117.50
5220,20,21,122.00
5271,20,21,119.90
5323,20,21,112.70
5375,20,21,96.30
5426,20,20,107.60
5477,20,20,113.70
5528,20,20,114.90
5579,20,20,105.70
