time_ms,command_angle,feedback_angle,current_mA
14937,160,147,213.00
14989,160,147,210.00
15041,160,148,211.60
15093,160,147,211.00
15146,160,147,212.20
15198,160,147,209.40
15250,160,147,209.60
15302,160,148,206.70
15354,160,147,205.60
15406,160,158,200.80
15458,160,147,201.60
15510,160,147,202.80
15562,160,147,197.70
15615,160,147,199.40
